Team_id, won_contest, accurate_pass, touch_factor, aerial_won, saves, total_tackle_opp, yellow_card_opp, red_card_opp
214,6.88182632224,301.082265323,0.963428219522,15.0277834714,3.60089682295,15.9277856128,1.78629846767,0.0552964448756
211,3.14299877492,122.245601809,0.443172644258,7.3526667471,1.44974425348,6.22564423248,0.416632404341,0.0
259,11.1026565633,475.412952768,1.43099997134,24.7663303332,4.90771192552,22.6044921966,1.73558904294,0.000384168497503
175,12.1763779885,347.864003264,1.45935575739,29.6052776589,4.68500676894,25.1903725607,3.36803681453,0.0177541836925
26,16.3278347554,729.154744183,1.46421291664,23.6468960007,2.23633250219,27.23689669,1.79280324618,0.009329408547
27,14.5870264624,422.518401126,1.46600303212,28.0048468668,3.84533423493,24.0487726764,2.99472474638,0.399351072008
21,10.1022787201,320.33813008,0.993628858212,20.7572202237,3.36870704154,18.5108012803,2.11697278446,0.0267564824035
23,3.06373085521,118.753640186,0.441838939743,9.95995982927,1.21460780604,6.8764277709,0.799882152243,0.149321181316
29,14.5105512273,445.71106782,1.43586721467,29.1269455602,4.32270547308,20.3255010469,3.03115402242,0.336698822772
183,14.6973921991,539.727272574,1.44000812263,23.3562874991,4.41995161573,21.0168133093,2.14784860671,0.104751369407
184,6.91708484917,334.670766809,1.4585711844,33.3023399056,6.20900911268,23.3462757307,2.76927769077,0.0301275497182
166,3.21558114816,129.064252757,0.449575971219,8.17439825293,1.13349132663,9.25456595868,0.668068825329,0.0734096842105
167,18.6793251727,780.315627943,1.44179960371,23.7410925845,2.40679877932,22.2661038629,2.77606947497,0.193123264994
162,14.3500957232,416.125282786,1.47114962252,30.9104040866,4.39474064951,25.4477147999,3.17479822853,0.0
96,13.4821304552,393.862075463,1.43919515627,32.1136806896,4.30196818289,24.3960094394,1.98696812504,0.113313931338
13,14.8856176309,718.016178385,1.44263709464,24.5312029269,3.20700046575,24.5370523685,2.23875729295,0.0282377963263
15,20.6533891504,650.84959981,1.45995291264,21.216577719,2.79360973484,24.7509264113,2.3901118183,0.0471504686648
14,12.5555587859,371.763678854,1.43651613185,28.8636449364,4.793707623,25.9810221437,2.91524108675,0.131578947368
16,8.29199643274,232.54906983,0.973983506589,15.0284351162,4.71716011279,16.0856487136,2.23637933486,0.171850239474
32,15.2241489512,619.382391061,1.44261799117,23.0467876544,4.69276873217,23.856156508,2.85890171067,0.126352663911
31,12.5512342068,471.470755012,1.44803975325,30.1515851287,4.26883451651,26.2059766619,2.65596838971,0.287072177168
30,16.2849035014,680.241344242,1.4517977955,23.5545384921,3.05547325032,24.4944420481,1.90073512692,0.223102841559
18,12.8274875903,543.258790834,1.43792593366,24.1714786082,3.87395166328,26.733626623,1.77422009718,0.284210526316
